commodity_id,commodity_name,parent_id,type,price_unit,unit
110,粮食(零售),,商超,-,-
110010,大米,110,商超,元/公斤,-
110020,面粉,110,商超,元/公斤,-
120,食用油(零售),,商超,-,-
120020,豆油,120,商超,元/升,-
120030,花生油,120,商超,元/升,-
120040,菜籽油,120,商超,元/升,-
120050,调和油,120,商超,元/升,-
550,肉类(零售),,商超,-,-
550010,猪肉,550,商超,-,-
190050,后腿肉,550010,商超,元/公斤,-
550020,牛肉,550,商超,-,-
550021,牛腿肉,550020,商超,元/公斤,-
550030,羊肉,550,商超,-,-
550031,羊腿肉,550030,商超,元/公斤,-
200,禽类(零售),,商超,-,-
200010,白条鸡,200,商超,元/公斤,-
140,蛋类(零售),,商超,-,-
140010,鸡蛋,140,商超,元/公斤,-
300,奶制品 (零售),,商超,-,-
300010,牛奶,300,商超,-,-
300011,灭菌奶(常温奶),300010,商超,元/升,-
300012,巴氏杀菌奶(鲜牛奶),300010,商超,元/升,-
300020,酸奶,300,商超,元/公斤,-
300060,婴幼儿奶粉,300,商超,-,-
300030,国外品牌婴幼儿奶粉,300060,商超,元/公斤,-
300040,国内品牌婴幼儿奶粉,300060,商超,元/公斤,-
300050,中老年奶粉,300,商超,元/公斤,-
180,调味品(零售),,商超,-,-
180010,食盐,180,商超,元/公斤,-
160010,食糖,180,商超,元/公斤,-
310,水产品(零售),,商超,-,-
310020,鲤鱼,310,商超,元/公斤,-
310030,鲢鱼,310,商超,元/公斤,-
310040,草鱼,310,商超,元/公斤,-
310050,鲫鱼,310,商超,元/公斤,-
310060,大带鱼,310,商超,元/公斤,-
310080,大黄鱼,310,商超,元/公斤,-
310150,对虾,310,商超,元/公斤,-
310160,河蟹,310,商超,元/公斤,-
450,蔬菜(零售),,商超,-,-
4501,叶菜类,450,商超,-,-
450018,油菜,4501,商超,元/公斤,-
450003,芹菜,4501,商超,元/公斤,-
450019,生菜,4501,商超,元/公斤,-
450004,大白菜,4501,商超,元/公斤,-
450060,菠菜,4501,商超,元/公斤,-
4502,甘蓝类,450,商超,-,-
450017,圆白菜,4502,商超,元/公斤,-
450280,西兰花,4502,商超,元/公斤,-
450070,菜花,4502,商超,元/公斤,-
4503,根茎类,450,商超,-,-
450011,白萝卜,4503,商超,元/公斤,-
450013,土豆,4503,商超,元/公斤,-
450005,生姜,4503,商超,元/公斤,-
450120,胡萝卜,4503,商超,元/公斤,-
450014,莲藕,4503,商超,元/公斤,-
450021,莴笋,4503,商超,元/公斤,-
450270,山药,4503,商超,元/公斤,-
4504,瓜菜类,450,商超,-,-
450007,黄瓜,4504,商超,元/公斤,-
450025,冬瓜,4504,商超,元/公斤,-
450026,苦瓜,4504,商超,元/公斤,-
450260,西葫芦,4504,商超,元/公斤,-
450290,南瓜,4504,商超,元/公斤,-
4505,豆类,450,商超,-,-
450010,豆角,4505,商超,元/公斤,-
450050,豆芽,4505,商超,元/公斤,-
4506,茄果类,450,商超,-,-
450006,西红柿,4506,商超,元/公斤,-
450008,茄子,4506,商超,元/公斤,-
450024,辣椒,4506,商超,元/公斤,-
450009,青椒,4506,商超,元/公斤,-
4507,葱蒜类,450,商超,-,-
450022,洋葱,4507,商超,元/公斤,-
450110,蒜头,4507,商超,元/公斤,-
450240,韭菜,4507,商超,元/公斤,-
450250,大葱,4507,商超,元/公斤,-
460,水果(零售),,商超,-,-
460001,苹果,460,商超,元/公斤,-
460003,香蕉,460,商超,元/公斤,-
460170,葡萄,460,商超,元/公斤,-
460080,柑橘,460,商超,元/公斤,-
460002,梨,460,商超,元/公斤,-
460004,西瓜,460,商超,元/公斤,-
460180,菠萝,460,商超,元/公斤,-
460230,芒果,460,商超,元/公斤,-
530,饮用水(零售),,商超,-,-
530010,瓶装饮用水,530,商超,元/升,-
580,方便食品,,商超,-,-
580010,方便面,580,商超,包/桶,-
580020,火腿肠,580,商超,根,-
210,粮食(批发),,批发,-,公斤
210010,粳米,210,批发,元/公斤,公斤
210020,籼米,210,批发,元/公斤,公斤
210030,面粉,210,批发,元/公斤,公斤
220,食用油(批发),,批发,-,公斤
220010,豆油,220,批发,元/公斤,公斤
220020,花生油,220,批发,元/公斤,公斤
220030,菜籽油,220,批发,元/公斤,公斤
220050,调和油,220,批发,元/公斤,公斤
130,肉类(批发),,批发,-,公斤
1301,猪肉,130,批发,-,公斤
130010,白条猪,1301,批发,元/公斤,公斤
130014,后腿肉,1301,批发,元/公斤,公斤
1302,牛肉,130,批发,-,公斤
130020,整牛（白条牛）,1302,批发,元/公斤,公斤
130025,牛腿肉,1302,批发,元/公斤,公斤
1303,羊肉,130,批发,-,公斤
130030,整羊（白条羊）,1303,批发,元/公斤,公斤
130035,羊腿肉,1303,批发,元/公斤,公斤
280,禽类(批发),,批发,-,公斤
280020,白条鸡,280,批发,元/公斤,公斤
280060,鸡肉（含白条、分割）,280,批发,公斤,公斤
150,蛋类(批发),,批发,-,公斤
150010,鸡蛋,150,批发,元/公斤,公斤
170,蔬菜(批发),,批发,-,公斤
1701,叶菜类,170,批发,-,公斤
170020,油菜,1701,批发,元/公斤,公斤
170040,芹菜,1701,批发,元/公斤,公斤
170050,生菜,1701,批发,元/公斤,公斤
170060,大白菜,1701,批发,元/公斤,公斤
170440,菠菜,1701,批发,元/公斤,公斤
1702,甘蓝类,170,批发,-,公斤
170010,圆白菜,1702,批发,元/公斤,公斤
170340,西兰花,1702,批发,元/公斤,公斤
170450,菜花,1702,批发,元/公斤,公斤
1703,根茎类,170,批发,-,公斤
170070,白萝卜,1703,批发,元/公斤,公斤
170080,土豆,1703,批发,元/公斤,公斤
170110,生姜,1703,批发,元/公斤,公斤
170260,胡萝卜,1703,批发,元/公斤,公斤
170270,莲藕,1703,批发,元/公斤,公斤
170280,莴笋,1703,批发,元/公斤,公斤
170500,山药,1703,批发,元/公斤,公斤
1704,瓜菜类,170,批发,-,公斤
170130,黄瓜,1704,批发,元/公斤,公斤
170180,冬瓜,1704,批发,元/公斤,公斤
170200,苦瓜,1704,批发,元/公斤,公斤
170330,西葫芦,1704,批发,元/公斤,公斤
170470,南瓜,1704,批发,元/公斤,公斤
1705,豆类,170,批发,-,公斤
170170,豆角,1705,批发,元/公斤,公斤
170290,豆芽,1705,批发,元/公斤,公斤
1706,茄果类,170,批发,-,公斤
170120,西红柿,1706,批发,元/公斤,公斤
170140,茄子,1706,批发,元/公斤,公斤
170150,辣椒,1706,批发,元/公斤,公斤
170160,青椒,1706,批发,元/公斤,公斤
1707,葱蒜类,170,批发,-,公斤
170090,洋葱,1707,批发,元/公斤,公斤
170100,蒜头,1707,批发,元/公斤,公斤
170480,韭菜,1707,批发,元/公斤,公斤
170250,大葱,1707,批发,元/公斤,公斤
250,水产品(批发),,批发,-,公斤
250010,鲤鱼,250,批发,元/公斤,公斤
250020,鲢鱼,250,批发,元/公斤,公斤
250030,草鱼,250,批发,元/公斤,公斤
250040,鲫鱼,250,批发,元/公斤,公斤
