commodity_id,commodity_name,parent_id,unit
1101,粮食类,,-
110101,大米,1101,公斤
110102,面粉,1101,公斤
1102,食用油,,升
1103,肉类,,公斤
110301,猪肉,1103,公斤
11030201,牛肉,1103,公斤
11030202,羊肉,1103,公斤
110401,鸡肉,1103,公斤
11050101,鸡蛋,,公斤
1106,蔬菜,,公斤
1107,水果,,公斤
1109,奶类,,-
11090101,常温奶,1109,袋/盒
11090102,低温保鲜奶,1109,袋/盒
110903,婴幼儿配方奶粉,1109,罐
1112,方便食品,,-
111201,方便面,1112,包/桶
120101,瓶装饮用水,1112,瓶
111301,火腿肠,1112,根
111101,饼干,1112,包/盒
111102,面包,1112,袋
111202,罐头,1112,罐
1113,包装熟食制品,1112,袋
111204,自热速食,1112,盒
111203,速冻食品,1112,袋
180010,食盐,,公斤
160010,食糖,,公斤
